Gatunek (PL),Slug,URL do QR kodu
Batalion,batalion,https://media.bartechbooks.com/ptaki/#batalion
Bażant,bazant,https://media.bartechbooks.com/ptaki/#bazant
Bernikla białolica,bernikla-bialolica,https://media.bartechbooks.com/ptaki/#bernikla-bialolica
Bielik,bielik,https://media.bartechbooks.com/ptaki/#bielik
Bocian biały,bocian-bialy,https://media.bartechbooks.com/ptaki/#bocian-bialy
Bocian czarny,bocian-czarny,https://media.bartechbooks.com/ptaki/#bocian-czarny
Bogatka,bogatka,https://media.bartechbooks.com/ptaki/#bogatka
Cyranka,cyranka,https://media.bartechbooks.com/ptaki/#cyranka
Czajka,czajka,https://media.bartechbooks.com/ptaki/#czajka
Czapla biała,czapla-biala,https://media.bartechbooks.com/ptaki/#czapla-biala
Czapla siwa,czapla-siwa,https://media.bartechbooks.com/ptaki/#czapla-siwa
Derkacz,derkacz,https://media.bartechbooks.com/ptaki/#derkacz
Dudek,dudek,https://media.bartechbooks.com/ptaki/#dudek
Dymówka,dymowka,https://media.bartechbooks.com/ptaki/#dymowka
Dzięcioł czarny,dzieciol-czarny,https://media.bartechbooks.com/ptaki/#dzieciol-czarny
Dzięcioł duży,dzieciol-duzy,https://media.bartechbooks.com/ptaki/#dzieciol-duzy
Dzięciołek,dzieciolek,https://media.bartechbooks.com/ptaki/#dzieciolek
Gawron,gawron,https://media.bartechbooks.com/ptaki/#gawron
Gil,gil,https://media.bartechbooks.com/ptaki/#gil
Grubodziób,grubodziob,https://media.bartechbooks.com/ptaki/#grubodziob
Grzywacz,grzywacz,https://media.bartechbooks.com/ptaki/#grzywacz
Gągoł,gagol,https://media.bartechbooks.com/ptaki/#gagol
Gąsiorek,gasiorek,https://media.bartechbooks.com/ptaki/#gasiorek
Gęgawa,gegawa,https://media.bartechbooks.com/ptaki/#gegawa
Gęś białoczelna,ges-bialoczelna,https://media.bartechbooks.com/ptaki/#ges-bialoczelna
Gęś tundrowa,ges-tundrowa,https://media.bartechbooks.com/ptaki/#ges-tundrowa
Jemioluszka,jemioluszka,https://media.bartechbooks.com/ptaki/#jemioluszka
Kos,kos,https://media.bartechbooks.com/ptaki/#kos
Kowalik,kowalik,https://media.bartechbooks.com/ptaki/#kowalik
Kraska,kraska,https://media.bartechbooks.com/ptaki/#kraska
Krwawodziób,krwawodziob,https://media.bartechbooks.com/ptaki/#krwawodziob
Krzyżówka,krzyzowka,https://media.bartechbooks.com/ptaki/#krzyzowka
Krętogłów,kretoglow,https://media.bartechbooks.com/ptaki/#kretoglow
Kszyk,kszyk,https://media.bartechbooks.com/ptaki/#kszyk
Kulik wielki,kulik-wielki,https://media.bartechbooks.com/ptaki/#kulik-wielki
Kuropatwa,kuropatwa,https://media.bartechbooks.com/ptaki/#kuropatwa
Lelek,lelek,https://media.bartechbooks.com/ptaki/#lelek
Makolągwa,makolagwa,https://media.bartechbooks.com/ptaki/#makolagwa
Muchołówka żałobna,mucholowka-zalobna,https://media.bartechbooks.com/ptaki/#mucholowka-zalobna
Myszołów,myszolow,https://media.bartechbooks.com/ptaki/#myszolow
Myszołów włochaty,myszolow-wlochaty,https://media.bartechbooks.com/ptaki/#myszolow-wlochaty
Nurogęś,nuroges,https://media.bartechbooks.com/ptaki/#nuroges
Orzeł przedni,orzel-przedni,https://media.bartechbooks.com/ptaki/#orzel-przedni
Paszkot,paszkot,https://media.bartechbooks.com/ptaki/#paszkot
Perkoz dwuczuby,perkoz-dwuczuby,https://media.bartechbooks.com/ptaki/#perkoz-dwuczuby
Pliszka siwa,pliszka-siwa,https://media.bartechbooks.com/ptaki/#pliszka-siwa
Podróżniczek,podrozniczek,https://media.bartechbooks.com/ptaki/#podrozniczek
Pokląskwa,poklaskwa,https://media.bartechbooks.com/ptaki/#poklaskwa
Puchacz,puchacz,https://media.bartechbooks.com/ptaki/#puchacz
Pustułka,pustulka,https://media.bartechbooks.com/ptaki/#pustulka
Puszczyk,puszczyk,https://media.bartechbooks.com/ptaki/#puszczyk
Remiz,remiz,https://media.bartechbooks.com/ptaki/#remiz
Rokitniczka,rokitniczka,https://media.bartechbooks.com/ptaki/#rokitniczka
Rudzik,rudzik,https://media.bartechbooks.com/ptaki/#rudzik
Rycyk,rycyk,https://media.bartechbooks.com/ptaki/#rycyk
Samotnik,samotnik,https://media.bartechbooks.com/ptaki/#samotnik
Skowronek,skowronek,https://media.bartechbooks.com/ptaki/#skowronek
Sroka,sroka,https://media.bartechbooks.com/ptaki/#sroka
Strzyżyk,strzyzyk,https://media.bartechbooks.com/ptaki/#strzyzyk
Szczudłak,szczudlak,https://media.bartechbooks.com/ptaki/#szczudlak
Szczygieł,szczygiel,https://media.bartechbooks.com/ptaki/#szczygiel
Szpak,szpak,https://media.bartechbooks.com/ptaki/#szpak
Sójka,sojka,https://media.bartechbooks.com/ptaki/#sojka
Słowik szary,slowik-szary,https://media.bartechbooks.com/ptaki/#slowik-szary
Trzciniak,trzciniak,https://media.bartechbooks.com/ptaki/#trzciniak
Trznadel,trznadel,https://media.bartechbooks.com/ptaki/#trznadel
Uszatka,uszatka,https://media.bartechbooks.com/ptaki/#uszatka
Uszatka błotna,uszatka-blotna,https://media.bartechbooks.com/ptaki/#uszatka-blotna
Wodnik,wodnik,https://media.bartechbooks.com/ptaki/#wodnik
Zimorodek,zimorodek,https://media.bartechbooks.com/ptaki/#zimorodek
Zięba,zieba,https://media.bartechbooks.com/ptaki/#zieba
Łabędź krzykliwy,labedz-krzykliwy,https://media.bartechbooks.com/ptaki/#labedz-krzykliwy
Łabędź niemy,labedz-niemy,https://media.bartechbooks.com/ptaki/#labedz-niemy
Łyska,lyska,https://media.bartechbooks.com/ptaki/#lyska
Łęczak,leczak,https://media.bartechbooks.com/ptaki/#leczak
Śmieszka,smieszka,https://media.bartechbooks.com/ptaki/#smieszka
Żołna,zolna,https://media.bartechbooks.com/ptaki/#zolna
Żuraw,zuraw,https://media.bartechbooks.com/ptaki/#zuraw
